,Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
171,22,1,1,2,9,1,2,51,39,71,1,2,0,25,1,1
172,25,2,0,5,13,1,1,64,38,28,2,5,6,44,14,0
173,26,2,5,6,7,1,2,12,100,27,1,0,3,8,4,1
174,26,0,5,0,22,0,1,30,64,94,1,1,1,15,6,1
175,25,0,4,5,13,1,1,43,51,80,1,0,0,41,3,2
177,53,0,14,3,18,2,0,56,48,42,1,1,0,50,4,0
178,50,1,9,7,21,1,0,49,52,47,1,0,2,45,3,0
179,58,0,11,3,18,2,1,62,43,36,2,4,13,29,7,2
180,35,0,11,0,22,1,0,55,42,78,2,4,7,39,18,2
181,45,0,14,5,14,2,2,31,64,70,1,2,1,27,2,1
182,40,0,9,4,4,1,1,28,73,66,1,0,4,14,3,1
183,50,1,7,7,12,1,0,23,60,78,1,1,5,10,8,2
184,24,3,3,3,18,1,1,71,16,67,2,5,6,52,25,2
185,25,0,4,1,2,2,1,82,20,84,2,5,11,40,19,0
186,32,0,3,2,6,2,0,30,68,70,1,2,3,21,6,1
187,48,0,7,3,3,0,2,75,22,20,1,2,5,70,5,0
188,38,1,6,2,9,2,0,74,3,76,2,5,7,44,20,0
189,33,0,0,2,11,0,0,17,93,73,1,0,0,15,8,1
190,41,2,9,5,15,1,1,28,50,30,1,0,3,18,2,2
191,28,0,5,3,3,2,1,42,53,66,1,2,0,34,3,2
192,22,0,1,6,7,2,1,49,56,34,1,0,0,31,9,0
193,31,0,10,6,7,1,0,82,27,89,2,4,9,60,6,0
194,23,1,2,1,5,1,0,74,27,74,2,2,5,62,29,0
195,58,2,9,7,12,1,0,54,36,49,1,1,2,49,2,0
196,35,2,7,2,11,2,0,42,60,88,1,0,3,39,4,1
197,21,2,0,2,11,1,1,27,58,95,1,2,5,13,0,1
198,25,0,4,7,10,1,0,59,42,88,1,1,2,56,5,0
199,47,1,9,2,6,2,1,24,65,56,1,1,3,17,4,1
200,26,3,5,0,0,2,2,26,77,41,1,0,4,14,1,1
201,43,0,9,6,17,1,0,60,40,40,1,2,3,32,2,0
202,44,2,6,2,6,1,0,33,72,38,1,0,0,24,4,1
203,39,1,2,1,5,1,1,63,47,40,2,3,11,55,9,0
204,40,3,6,3,3,0,1,61,38,89,1,1,2,46,0,2
205,43,0,15,6,19,1,1,90,21,68,2,4,7,89,20,0
206,28,2,7,4,23,0,0,47,64,86,2,3,11,40,20,2
207,42,2,0,5,14,1,1,51,63,85,2,2,12,28,7,2
208,50,0,13,6,19,2,1,34,71,65,1,2,1,22,7,1
209,54,1,9,6,17,1,0,84,8,79,2,2,6,81,17,0
210,58,0,6,0,0,0,1,69,28,85,2,4,6,46,11,2
211,43,2,5,1,5,1,2,62,39,49,2,2,9,40,23,1
212,45,0,0,0,16,1,0,41,60,33,1,0,5,21,3,2
213,43,2,7,7,12,1,0,43,60,94,1,0,3,26,0,1
214,51,2,11,0,22,1,2,59,34,72,1,2,0,30,0,1
215,29,2,8,1,5,1,1,24,74,89,1,2,4,19,0,1
216,46,2,12,2,6,1,0,94,7,40,2,5,5,78,8,0
217,50,0,9,5,14,1,1,46,52,67,1,2,3,32,8,2
218,38,1,15,1,2,0,0,22,84,50,1,1,2,20,5,2
219,53,2,16,7,21,0,0,18,85,37,1,2,3,14,5,1
220,41,0,7,0,0,2,0,22,97,76,1,0,3,18,4,1
221,33,0,11,1,5,1,0,23,74,36,1,1,3,19,7,2
222,45,0,9,6,17,1,1,56,49,77,2,3,13,30,6,2
223,27,1,6,3,8,2,1,67,39,31,1,2,4,50,3,0
224,56,2,9,7,10,1,0,13,89,86,1,1,3,10,6,1
226,27,2,6,7,10,1,0,62,28,91,1,2,2,39,0,2
227,58,0,16,0,16,1,2,55,34,69,1,1,2,32,1,1
228,41,2,9,0,16,0,1,55,49,32,2,3,12,51,16,2
229,53,1,1,1,2,0,1,37,55,87,1,2,3,31,7,2
230,46,0,1,5,13,0,0,91,10,45,2,2,9,89,20,0
231,28,1,7,5,13,1,1,74,40,63,2,2,9,65,14,0
232,48,0,2,7,21,0,1,31,75,46,1,0,4,29,9,2
233,47,3,6,7,12,1,1,80,6,54,2,4,5,61,11,0
234,34,0,13,5,13,0,2,35,45,39,1,2,0,20,8,1
236,27,2,6,7,12,1,1,17,92,60,1,1,3,11,8,1
237,35,2,0,7,12,1,0,36,59,43,1,1,3,26,2,2
238,43,0,8,2,6,1,1,69,37,73,2,5,11,42,11,2
239,40,0,4,5,15,2,1,85,21,60,2,2,11,80,22,0
240,57,0,13,3,3,1,2,48,57,35,1,0,0,35,6,1
241,30,1,9,5,14,2,1,90,16,71,2,4,13,68,25,0
242,21,3,0,7,12,1,0,24,81,58,1,2,1,22,6,1
243,37,1,8,0,0,2,0,79,25,66,2,2,11,49,5,0
244,46,2,11,4,23,1,0,44,50,77,2,4,8,36,28,2
245,39,2,10,6,7,1,1,74,24,32,1,1,2,49,2,0
246,30,0,9,4,4,1,1,66,44,91,2,4,6,65,20,0
247,38,0,2,2,6,2,0,21,68,46,1,0,5,14,0,1
248,48,2,5,1,5,2,0,28,70,88,1,1,5,19,6,1
249,49,1,8,0,22,2,0,83,21,66,2,3,14,82,9,0
250,25,0,4,6,7,1,0,12,75,29,1,1,3,9,7,2
251,42,1,9,5,14,1,0,29,65,38,1,2,1,13,4,2
252,23,0,2,6,19,1,1,68,11,66,2,3,8,44,6,0
253,48,0,10,3,18,1,2,18,87,55,1,0,4,15,9,1
254,26,1,5,6,17,1,2,37,61,34,1,2,1,28,2,2
255,37,0,15,1,5,1,1,49,61,71,2,4,5,22,29,1
257,23,0,2,6,7,1,1,17,81,92,1,0,5,10,8,1
258,48,0,13,7,21,0,1,46,51,37,1,2,1,25,8,2
259,42,0,13,7,10,2,1,77,16,22,2,3,10,51,22,0
260,58,1,7,2,6,2,1,80,17,86,2,4,8,36,9,2
261,32,0,11,3,18,1,1,30,67,44,1,0,5,29,6,1
262,56,0,2,7,10,2,0,70,44,28,2,2,14,63,27,0
263,43,0,0,2,6,1,0,82,22,32,2,5,8,58,19,0
264,37,0,12,4,20,0,0,42,62,49,1,1,3,24,2,2
265,29,0,8,6,19,1,0,56,30,79,1,1,3,44,7,0
266,29,0,1,4,20,1,1,74,7,48,1,1,0,34,1,0
267,33,2,9,4,4,1,2,48,56,90,1,0,4,45,9,1
268,27,2,6,0,0,1,0,38,75,51,1,1,3,28,8,1
269,21,0,0,7,12,0,0,60,42,48,1,2,2,40,1,0
270,35,0,4,4,20,0,2,57,42,85,2,5,8,56,29,2
271,38,0,0,4,23,0,0,73,19,83,2,5,11,51,8,0
272,31,1,10,5,14,2,1,58,51,28,2,2,8,39,12,0
273,57,0,16,5,13,1,1,90,1,28,0,8,20,48,48,0
274,36,0,11,4,4,0,1,71,43,61,2,4,10,39,20,2
275,60,0,0,6,17,0,2,19,67,21,1,1,3,17,2,1
276,38,0,8,4,20,1,1,76,29,80,2,5,9,43,18,0
278,53,0,6,5,15,2,2,44,55,24,2,5,10,41,29,2
279,60,2,10,0,16,1,1,27,68,73,1,0,5,25,3,1
280,51,1,12,1,1,1,1,25,85,32,1,2,5,14,4,1
281,58,1,6,2,11,0,1,41,59,99,1,2,4,27,4,1
282,39,2,9,7,12,1,1,52,48,44,2,5,6,41,27,2
283,25,3,2,2,6,0,1,51,55,94,2,5,6,47,27,1
284,43,1,10,6,19,1,2,63,43,74,2,4,8,34,5,2
285,32,1,10,7,21,1,1,55,50,62,2,4,12,45,26,2
286,58,0,4,0,16,2,1,75,55,55,2,5,12,35,15,2
288,43,3,13,3,18,2,2,66,27,27,2,2,11,59,16,2
289,50,0,4,7,21,1,1,80,13,39,2,3,10,40,28,0
290,35,2,0,3,8,1,0,65,30,79,2,5,8,35,9,2
291,24,1,3,7,21,1,2,31,49,65,1,1,4,27,5,1
292,44,0,1,3,3,2,1,66,41,74,2,2,10,42,17,2
293,38,0,5,5,15,0,2,24,91,59,1,1,2,17,4,1
294,36,2,12,7,12,1,0,57,62,37,2,4,13,31,12,2
295,37,2,5,6,17,1,1,69,53,23,2,5,11,45,12,0
296,52,2,5,6,17,2,2,12,83,41,1,2,5,10,8,1
297,52,2,18,7,21,1,0,58,47,88,2,3,8,26,29,1
298,51,0,11,3,3,2,0,51,45,68,2,3,8,38,5,2
299,33,1,12,0,16,1,2,32,58,78,1,0,4,27,0,1
300,36,0,15,7,12,1,2,91,15,32,0,5,22,71,38,0
301,29,0,8,2,9,0,0,61,46,28,2,3,5,28,16,2
302,54,0,5,2,6,0,2,17,71,91,1,2,1,14,2,1
303,51,2,11,3,3,2,1,94,0,83,2,4,10,82,12,0
304,55,0,0,3,18,2,0,37,56,36,1,1,5,28,6,2
305,24,0,3,7,10,0,0,22,86,77,1,2,5,13,7,1
306,48,2,4,4,20,0,0,89,0,23,2,4,12,53,16,0
307,34,0,6,3,3,0,0,33,87,45,1,1,2,20,2,1
308,23,0,2,7,21,0,2,13,100,67,1,0,1,8,2,1
309,45,2,13,6,17,0,0,47,56,71,1,2,5,25,8,2
310,25,0,4,0,0,2,1,30,68,42,1,1,0,13,3,1
311,31,2,10,7,21,2,1,64,28,88,2,2,6,53,5,2
312,50,2,7,7,21,0,1,73,31,80,2,3,13,71,11,0
313,41,0,1,1,5,2,0,85,0,20,2,2,13,55,14,0
314,41,2,7,3,8,0,0,26,75,36,1,1,0,19,5,1
315,34,0,9,3,3,0,1,36,56,54,1,1,4,17,5,1
316,43,0,6,6,7,1,0,73,27,37,2,3,11,37,16,0
317,39,2,7,1,2,2,1,44,63,51,1,1,3,27,7,1
318,37,0,16,3,18,1,0,88,8,87,2,5,8,50,17,0
319,52,2,9,6,19,1,0,33,75,71,1,2,1,20,8,1
320,50,0,10,3,8,1,1,52,64,64,2,3,14,30,22,1
321,52,0,7,2,11,0,0,72,43,69,2,5,10,64,28,0
322,42,0,7,2,9,1,1,18,72,79,1,1,0,10,8,1
323,30,0,2,1,2,2,0,39,56,44,1,1,5,19,9,2
324,50,1,14,6,17,2,0,30,86,64,1,1,1,20,8,2
325,31,0,4,5,15,2,2,68,30,66,2,4,14,44,16,2
326,24,0,3,2,6,1,0,16,88,82,1,0,5,9,0,1
328,57,2,8,5,14,1,0,30,87,83,1,0,3,17,8,1
329,56,0,7,3,3,2,0,63,36,53,2,2,10,59,8,0
330,56,2,13,7,21,2,1,59,44,24,2,2,10,35,8,2
332,30,0,0,6,19,0,0,40,52,88,1,2,1,23,1,2
333,37,2,15,5,13,0,0,62,30,43,2,5,7,61,15,0
334,31,0,6,1,2,1,1,25,83,21,1,1,3,11,8,1
335,30,2,9,3,3,2,1,51,56,41,1,0,3,24,1,1
336,36,2,7,7,12,1,1,82,0,29,2,5,11,56,6,0
337,56,1,7,0,22,2,1,87,25,92,2,5,11,56,28,2
338,34,1,10,0,22,0,2,31,72,78,1,0,3,30,3,1
340,34,0,8,1,5,0,1,87,0,62,2,3,11,81,12,0
341,40,0,5,0,16,1,0,34,81,88,1,2,0,17,7,1
342,40,1,5,4,4,0,1,67,31,72,2,2,8,51,10,0
343,53,0,0,2,9,2,1,85,0,58,2,5,7,84,26,0
344,47,1,3,2,6,2,0,62,42,62,2,3,14,37,20,2
345,43,0,7,5,13,1,0,92,0,30,2,3,14,43,15,0
346,39,0,3,4,23,1,2,81,27,78,2,4,9,37,9,2
347,44,2,14,7,12,0,1,63,49,94,1,0,5,42,9,2
348,43,0,5,5,15,1,1,38,72,55,1,1,5,25,3,2
349,35,0,8,6,19,0,0,56,35,87,2,2,14,45,11,0
350,38,0,6,5,15,1,0,61,34,52,2,3,8,48,21,0
351,46,0,4,6,17,2,0,70,11,55,2,3,8,53,15,0
352,34,2,7,7,21,1,2,40,57,23,1,1,1,29,6,1
353,50,1,20,3,3,1,1,45,47,90,2,2,5,28,27,1
354,26,0,5,0,22,0,1,42,32,74,1,2,1,19,3,1
355,38,0,6,4,20,0,0,46,51,87,1,0,1,34,7,2
356,26,1,0,0,0,2,2,48,36,47,1,0,0,26,9,1
357,52,2,8,0,0,0,0,68,38,34,2,4,7,58,23,2
358,49,0,6,5,13,1,1,17,81,27,1,2,4,8,2,1
359,43,0,9,3,8,0,0,87,14,63,2,2,14,67,15,0
361,48,0,0,6,7,1,1,93,3,86,0,6,22,79,25,0
362,59,1,2,7,21,2,1,75,19,93,2,4,6,48,19,0
363,31,2,10,6,7,1,1,23,72,84,1,2,2,18,6,1
364,39,0,15,4,4,1,1,61,30,68,2,3,11,29,26,2
365,48,0,19,4,23,1,0,64,30,83,1,2,2,49,6,0
366,33,1,12,3,18,1,1,54,64,63,2,5,7,38,14,2
367,40,2,4,5,14,1,1,66,40,64,2,2,5,41,27,2
368,48,0,10,7,12,2,1,47,78,25,1,2,4,22,2,2
369,39,0,7,6,17,1,0,44,55,64,1,0,3,41,1,0
370,54,0,14,0,0,2,0,51,53,38,1,2,1,35,1,2
371,26,0,5,0,0,2,1,48,61,37,2,5,12,31,24,1
372,51,2,14,0,0,2,0,61,45,88,2,3,6,28,17,1
373,30,0,1,4,23,2,1,72,31,30,2,4,9,66,14,0
374,33,2,3,5,15,0,0,65,42,79,2,3,14,60,23,0
375,51,2,9,6,19,0,0,90,29,70,2,4,14,61,7,0
376,40,0,4,6,17,2,0,25,82,87,1,2,5,20,0,1
377,56,0,14,1,2,1,0,60,31,61,1,0,4,55,6,0
378,54,1,11,2,11,0,0,64,33,81,1,2,2,31,1,2
379,31,2,10,6,7,2,2,30,59,78,1,2,3,27,5,1
380,29,1,8,4,23,1,1,12,89,26,1,1,3,6,6,1
381,31,0,10,5,14,1,0,46,78,67,1,0,2,44,3,2
382,55,2,11,6,17,1,2,33,76,42,1,1,5,26,1,1
383,28,2,7,6,17,1,2,70,34,81,2,4,13,37,6,2
384,27,0,6,2,9,2,2,63,47,21,2,5,8,42,25,1
385,42,0,6,3,8,0,1,52,31,21,1,0,1,32,5,2
386,45,0,12,2,9,2,0,78,20,61,2,3,5,66,22,0
387,53,2,11,3,18,1,0,36,78,47,1,1,0,16,6,1
388,26,2,5,5,13,2,1,65,31,37,2,4,11,60,14,0
389,38,2,7,2,6,2,1,67,39,89,1,1,1,62,0,2
390,49,1,4,4,20,1,0,60,53,89,2,3,12,58,5,0
391,44,0,6,3,8,2,0,66,27,49,1,0,5,59,3,0
392,54,2,6,5,15,0,0,88,21,75,2,4,13,40,16,0
393,21,2,0,4,23,1,0,60,57,35,2,5,10,34,12,0
394,48,0,8,0,22,2,0,77,25,78,2,4,6,42,14,2
396,53,1,7,4,20,1,2,70,28,21,2,4,10,49,27,0
397,49,0,10,1,5,1,0,43,72,90,1,2,1,41,1,2
398,21,2,0,4,20,1,1,39,67,40,1,1,2,29,9,2
399,32,0,7,3,18,1,0,36,55,78,1,1,1,23,1,2
400,27,0,2,2,6,2,1,84,12,93,2,2,10,41,13,0
401,60,0,15,5,14,1,0,66,33,81,2,5,13,63,8,0
402,50,0,12,6,19,0,1,26,65,82,1,0,1,17,0,1
403,49,0,14,7,12,0,1,56,41,38,1,1,3,38,9,2
404,46,2,12,6,7,2,2,28,58,36,1,2,2,25,0,1
405,55,3,0,7,21,0,1,55,52,80,2,3,5,25,21,1
406,36,0,15,4,23,1,1,80,1,62,2,2,14,57,29,0
407,23,3,2,7,21,1,2,23,70,63,1,0,4,18,7,1
408,46,1,0,3,8,2,0,86,18,42,2,3,8,73,24,0
410,32,0,10,6,17,2,1,28,82,25,1,0,2,15,4,1
411,23,1,2,1,1,1,1,24,71,45,1,0,4,18,8,2
412,28,0,7,6,19,2,1,47,55,98,1,2,0,36,6,2
413,33,2,5,1,1,1,2,91,12,93,0,6,20,57,27,2
414,31,0,10,3,3,1,0,62,54,29,2,5,14,45,16,0
415,41,2,12,4,4,2,0,29,71,20,1,1,5,13,5,2
416,42,1,11,4,23,1,1,33,64,70,2,3,11,23,28,2
417,38,1,10,3,18,2,1,57,39,71,1,1,1,40,9,2
418,43,2,8,5,13,2,0,93,1,54,2,3,12,47,12,0
419,30,0,9,5,13,0,2,45,36,87,1,1,2,31,1,1
420,39,1,5,4,20,2,0,17,74,37,1,1,5,10,2,2
